,xi,xi_z,(8/f)^0.5,f
346,8.72,43.6,9.979,0.08033706137131891
347,9.28,46.4,10.103,0.07837711637441099
348,10.08,50.4,10.314,0.07520309818715787
349,10.72,53.6,10.592,0.07130730825750038
350,11.44,57.2,10.454,0.07320234530066015
351,12.08,60.4,10.731,0.06947196728398328
352,12.8,64.0,10.891,0.06744573175208726
353,13.44,67.2,11.09,0.06504694356608484
354,14.08,70.4,11.203,0.06374135847447616
355,14.72,73.6,11.148,0.06437186130850743
356,15.36,76.8,11.235,0.0633787739336571
357,15.92,79.6,11.27,0.06298572822130666
358,3.44,17.2,7.623,0.1376696307110246
359,4.16,20.8,8.27,0.11697120607548445
360,4.72,23.6,8.533,0.10987186482178807
361,5.36,26.8,8.823,0.102767887332071
362,6.08,30.4,9.129,0.0959938859574156
363,6.8,34.0,9.295,0.09259578093111424
364,7.44,37.2,9.741,0.08431073983612164
365,8.16,40.8,9.881,0.081938533788394
366,8.72,43.6,10.079,0.07875082217088827
367,9.44,47.2,10.321,0.07510112295798992
368,10.08,50.4,10.408,0.07385083667089883
369,10.8,54.0,10.545,0.07194437081387745
370,11.52,57.6,10.658,0.07042689721521837
371,12.16,60.8,10.92,0.06708797917589127
372,12.8,64.0,10.833,0.06816987547809344
373,13.44,67.2,10.878,0.06760703317318241
374,2.8,14.0,6.885,0.16876488888677932
375,3.52,17.6,7.344,0.1483285156231459
376,4.08,20.4,8.078,0.12259769059052306
377,4.8,24.0,8.418,0.11289433355680768
378,5.52,27.6,8.649,0.1069444355881084
379,6.16,30.8,9.024,0.09824078265680802
380,6.8,34.0,9.168,0.09517892114312171
381,7.52,37.6,9.566,0.0874237102456523
382,8.16,40.8,9.744,0.08425883234784204
383,8.8,44.0,10.021,0.07966505544423967
384,9.44,47.2,9.988,0.08019234615379064
385,10.16,50.8,10.251,0.07613029627884343
386,10.8,54.0,10.336,0.07488330186237767
387,11.52,57.6,10.526,0.0722043321949478
388,12.0,60.0,10.66,0.07040047309117918
389,3.92,19.6,9.451,0.08956420197663491
390,4.64,23.2,9.978,0.08035316501675505
391,5.28,26.4,10.179,0.07721110329252176
392,6.08,30.4,10.723,0.069575666446393
393,6.56,32.8,10.787,0.06875252133758132
394,7.44,37.2,11.179,0.06401534268521204
395,8.0,40.0,11.399,0.061568203243042005
396,8.72,43.6,11.582,0.059637971866442784
397,9.36,46.8,11.677,0.058671531749193664
398,10.0,50.0,11.864,0.056836550357865646
399,10.72,53.6,11.864,0.056836550357865646
400,11.36,56.8,11.968,0.055853041265120536
401,11.92,59.6,12.095,0.05468626234948247
402,12.72,63.6,12.3,0.05287857756626346
403,13.36,66.8,12.397,0.052054320844055084
404,14.0,70.0,12.42,0.05186170557591128
405,14.56,72.8,12.497,0.05122458485019201
406,15.2,76.0,12.491,0.05127380770275005
407,3.36,16.8,8.936,0.10018522243924567
408,4.0,20.0,9.377,0.09098339849810747
409,4.64,23.2,9.875,0.08203813491427656
410,5.36,26.8,10.237,0.07633866844884377
411,6.0,30.0,10.472,0.07295091104015744
412,6.64,33.2,10.786,0.06876527040275028
413,7.36,36.8,11.046,0.06556618416183911
414,8.0,40.0,11.295,0.06270721550373197
415,8.72,43.6,11.488,0.06061793437356942
416,9.28,46.4,11.767,0.0577774645918211
417,10.08,50.4,11.76,0.05784626775880421
418,10.72,53.6,11.908,0.05641730481220429
419,11.44,57.2,12.071,0.05490393694925218
420,12.08,60.4,11.994,0.05561115280557293
421,12.56,62.8,12.165,0.0540587202712937
422,2.56,12.8,8.177,0.11964704898255965
423,3.36,16.8,9.173,0.09507518956002162
424,4.0,20.0,9.642,0.08605096256391598
425,4.72,23.6,10.005,0.07992005996002498
